Beets,2026-04-15,2026-06-15,Can be planted in successions.
Carrots,2026-04-20,2026-07-20,Main crop usually takes 70-80 days.
Sweet Corn,2026-05-15,2026-08-10,Plant after soil is warm (60Â°F+).
Rye (Winter),2026-09-01,2026-11-01,Often used as a cover crop.
Cucumbers,2026-05-25,2026-07-25,Very frost sensitive; plant late May.
Pumpkins,2026-05-30,2026-10-01,Need a long season to cure for Oct.
Green Beans,2026-05-20,2026-07-15,Bush beans are ready in ~55 days.
Tomatoes,2026-05-20,2026-08-15,Based on transplanting seedlings.
Cherry Tomatoes,2026-05-20,2026-07-30,Usually ripen 2 weeks before big types.
Watermelon,2026-06-01,2026-09-01,Needs maximum heat and 85+ days.
